Run,Checkpoint,Modo,Seed,estado,origen,destino
r128_a256_d005,epoch_180_loss_0.1603,mixolydian,2222,OK,gradio_outputs\modal_eval_r128_a256_d005\epoch_180_loss_0.1603_mixolydian_seed2222.flac,audios_unificados\r128_a256_d005\epoch_180_loss_0.1603\mixolydian_seed2222.flac
r128_a256_d005,epoch_180_loss_0.1603,aeolian,1111,OK,gradio_outputs\modal_eval_r128_a256_d005\epoch_180_loss_0.1603_aeolian_seed1111.flac,audios_unificados\r128_a256_d005\epoch_180_loss_0.1603\aeolian_seed1111.flac
r128_a256_d005,epoch_180_loss_0.1603,aeolian,2222,OK,gradio_outputs\modal_eval_r128_a256_d005\epoch_180_loss_0.1603_aeolian_seed2222.flac,audios_unificados\r128_a256_d005\epoch_180_loss_0.1603\aeolian_seed2222.flac
r128_a256_d005,epoch_180_loss_0.1603,locrian,1111,OK,gradio_outputs\modal_eval_r128_a256_d005\epoch_180_loss_0.1603_locrian_seed1111.flac,audios_unificados\r128_a256_d005\epoch_180_loss_0.1603\locrian_seed1111.flac
r128_a256_d005,epoch_180_loss_0.1603,locrian,2222,OK,gradio_outputs\modal_eval_r128_a256_d005\epoch_180_loss_0.1603_locrian_seed2222.flac,audios_unificados\r128_a256_d005\epoch_180_loss_0.1603\locrian_seed2222.flac
r64_a128_d0,epoch_160_loss_0.1725,ionian,1111,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_160_loss_0.1725_ionian_seed1111.flac,audios_unificados\r64_a128_d0\epoch_160_loss_0.1725\ionian_seed1111.flac
r64_a128_d0,epoch_160_loss_0.1725,ionian,2222,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_160_loss_0.1725_ionian_seed2222.flac,audios_unificados\r64_a128_d0\epoch_160_loss_0.1725\ionian_seed2222.flac
r64_a128_d0,epoch_160_loss_0.1725,dorian,1111,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_160_loss_0.1725_dorian_seed1111.flac,audios_unificados\r64_a128_d0\epoch_160_loss_0.1725\dorian_seed1111.flac
r64_a128_d0,epoch_160_loss_0.1725,dorian,2222,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_160_loss_0.1725_dorian_seed2222.flac,audios_unificados\r64_a128_d0\epoch_160_loss_0.1725\dorian_seed2222.flac
r64_a128_d0,epoch_160_loss_0.1725,phrygian,1111,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_160_loss_0.1725_phrygian_seed1111.flac,audios_unificados\r64_a128_d0\epoch_160_loss_0.1725\phrygian_seed1111.flac
r64_a128_d0,epoch_160_loss_0.1725,phrygian,2222,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_160_loss_0.1725_phrygian_seed2222.flac,audios_unificados\r64_a128_d0\epoch_160_loss_0.1725\phrygian_seed2222.flac
r64_a128_d0,epoch_160_loss_0.1725,lydian,1111,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_160_loss_0.1725_lydian_seed1111.flac,audios_unificados\r64_a128_d0\epoch_160_loss_0.1725\lydian_seed1111.flac
